# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Overall Pi	AMOVA Fst	Fisher's P	Odds Ratio	CI Low	CI High	LOD	Corrected AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value	Window SNP Count
30	NorthSea_unknownspc	Skagerrak_Sailray	NC_045956.1	49130967	11	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	NorthSea_unknownspc	Skagerrak_Sailray	NC_045956.1	49130990	34	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	NorthSea_unknownspc	Skagerrak_Sailray	NC_045956.1	49131000	44	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	NorthSea_unknownspc	Skagerrak_Sailray	NC_045956.1	49131003	47	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	NorthSea_unknownspc	Skagerrak_Sailray	NC_045956.1	49131004	48	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	NorthSea_unknownspc	Skagerrak_Sailray	NC_045956.1	49131010	54	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	NorthSea_unknownspc	Skagerrak_Sailray	NC_045956.1	49131015	59	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	NorthSea_unknownspc	Skagerrak_Sailray	NC_045956.1	49131016	60	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	NorthSea_unknownspc	Skagerrak_Sailray	NC_045956.1	49131038	82	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	NorthSea_unknownspc	Skagerrak_Sailray	NC_045956.1	49131039	83	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	NorthSea_unknownspc	Skagerrak_Sailray	NC_045956.1	49131044	88	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	NorthSea_unknownspc	Skagerrak_Sailray	NC_045956.1	49131050	94	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	NorthSea_unknownspc	Skagerrak_Sailray	NC_045956.1	49131054	98	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
100	NorthSea_unknownspc	Skagerrak_Sailray	NC_045956.1	127726799	8	0.25000	0.42857	0.250000000	0.14286	0.00811	2.51742	0.84510	0.42857	0.42857	0.00000	0
343	NorthSea_unknownspc	Skagerrak_Sailray	NC_045958.1	93202300	32	0.53333	0.37500	0.133333333	7.00000	0.50125	97.75590	0.84510	0.37500	0.32292	0.00000	0
343	NorthSea_unknownspc	Skagerrak_Sailray	NC_045958.1	93202303	35	0.53333	0.37500	0.133333333	7.00000	0.50125	97.75590	0.84510	0.37500	0.32292	0.00000	0
