# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Overall Pi	AMOVA Fst	Fisher's P	Odds Ratio	CI Low	CI High	LOD	Corrected AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value	Window SNP Count
8	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045956.1	17483045	85	0.02041	0.00599	1.000000000	0.83784	0.07341	9.56257	0.07684	0.00599	0.01216	0.00000	0
8	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045956.1	17483054	76	0.05996	0.01834	0.295602777	0.40541	0.04362	3.76764	0.39211	0.01834	0.01216	0.00000	0
343	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045958.1	93202278	10	0.01786	0.00393	1.000000000	1.11429	0.09777	12.70008	0.04700	0.00393	0.00357	0.00000	0
343	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045958.1	93202282	14	0.03539	0.00793	0.573359073	0.73333	0.07365	7.30134	0.13470	0.00793	0.00357	0.00000	0
343	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045958.1	93202300	32	0.01786	0.00393	1.000000000	1.11429	0.09777	12.70008	0.04700	0.00393	0.00357	0.00000	0
343	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045958.1	93202307	39	0.01786	0.00393	1.000000000	1.11429	0.09777	12.70008	0.04700	0.00393	0.00357	0.00000	0
343	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045958.1	93202310	42	0.01786	0.00393	1.000000000	1.11429	0.09777	12.70008	0.04700	0.00393	0.00357	0.00000	0
343	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045958.1	93202320	52	0.47075	0.00028	1.000000000	1.07760	0.46608	2.49145	0.03246	0.00028	0.00357	0.00000	0
343	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045958.1	93202333	65	0.01786	0.00393	1.000000000	1.11429	0.09777	12.70008	0.04700	0.00393	0.00357	0.00000	0
343	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045958.1	93202334	66	0.01786	0.00393	1.000000000	1.11429	0.09777	12.70008	0.04700	0.00393	0.00357	0.00000	0
343	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045958.1	93202343	75	0.10232	0.00024	1.000000000	1.15625	0.20146	6.63602	0.06305	0.00024	0.00357	0.00000	0
1047	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045967.1	52130182	106	0.17502	0.00010	1.000000000	1.07407	0.24963	4.62130	0.03103	0.00010	0.00728	0.00000	0
1047	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045967.1	52130191	97	0.33860	0.00046	1.000000000	0.89286	0.30531	2.61113	0.04922	0.00046	0.00728	0.00000	0
1047	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045967.1	52130233	55	0.04210	0.01019	0.560741249	0.67742	0.06767	6.78175	0.16914	0.01019	0.00728	0.00000	0
1047	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045967.1	52130248	40	0.04210	0.01019	0.560741249	0.67742	0.06767	6.78175	0.16914	0.01019	0.00728	0.00000	0
1047	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045967.1	52130272	16	0.06246	0.01545	0.548804870	0.50000	0.05358	4.66557	0.30103	0.01545	0.00728	0.00000	0
1139	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045969.1	29547726	40	0.04395	0.01136	0.550561798	0.63441	0.06331	6.35686	0.19763	0.01136	0.00786	0.00000	0
1139	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045969.1	29547791	105	0.14507	0.00086	1.000000000	0.78571	0.14328	4.30876	0.10474	0.00086	0.00786	0.00000	0
1139	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045969.1	29547800	114	0.04395	0.01136	0.550561798	0.63441	0.06331	6.35686	0.19763	0.01136	0.00786	0.00000	0
1734	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045981.1	36912387	100	0.13662	0.00026	1.000000000	0.87143	0.15923	4.76917	0.05977	0.00026	0.00026	0.00000	0
1783	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045983.1	13658672	8	0.07468	0.01778	0.309228151	0.41818	0.04695	3.72453	0.37863	0.01778	0.01018	0.00000	0
1783	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045983.1	13658681	17	0.30153	0.00991	0.413908083	0.54286	0.16480	1.78817	0.26531	0.00991	0.01018	0.00000	0
1783	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045983.1	13658732	68	0.01923	0.00431	1.000000000	1.09091	0.09550	12.46115	0.03779	0.00431	0.01018	0.00000	0
1783	NorthSea_Thornbackskate	Skagerrak_Thornbackskate	NC_045983.1	13658741	77	0.03809	0.00871	0.569828230	0.71717	0.07186	7.15733	0.14438	0.00871	0.01018	0.00000	0
