# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Overall Pi	AMOVA Fst	Fisher's P	Odds Ratio	CI Low	CI High	LOD	Corrected AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value	Window SNP Count
30	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045956.1	49130990	34	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045956.1	49131000	44	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045956.1	49131003	47	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045956.1	49131004	48	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045956.1	49131009	53	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045956.1	49131010	54	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045956.1	49131015	59	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045956.1	49131016	60	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045956.1	49131038	82	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045956.1	49131039	83	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045956.1	49131044	88	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045956.1	49131047	91	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045956.1	49131050	94	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045956.1	49131054	98	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
30	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045956.1	49131064	108	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
239	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045957.1	120507372	14	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
239	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045957.1	120507396	38	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
239	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045957.1	120507419	61	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
239	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045957.1	120507420	62	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
239	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045957.1	120507441	83	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
239	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045957.1	120507442	84	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
343	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045958.1	93202300	32	0.53333	0.37500	0.133333333	7.00000	0.50125	97.75590	0.84510	0.37500	0.37500	0.00000	0
343	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045958.1	93202303	35	0.53333	0.37500	0.133333333	7.00000	0.50125	97.75590	0.84510	0.37500	0.37500	0.00000	0
343	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045958.1	93202304	36	0.53333	0.37500	0.133333333	7.00000	0.50125	97.75590	0.84510	0.37500	0.37500	0.00000	0
343	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045958.1	93202305	37	0.53333	0.37500	0.133333333	7.00000	0.50125	97.75590	0.84510	0.37500	0.37500	0.00000	0
343	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045958.1	93202320	52	0.53333	0.37500	0.133333333	7.00000	0.50125	97.75590	0.84510	0.37500	0.37500	0.00000	0
343	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045958.1	93202352	84	0.53333	0.37500	0.133333333	7.00000	0.50125	97.75590	0.84510	0.37500	0.37500	0.00000	0
740	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045963.1	6038923	6	0.35556	0.06250	1.000000000	0.77778	0.05569	10.86177	0.10914	0.06250	0.31250	0.00000	0
740	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045963.1	6038943	26	0.53333	0.37500	0.133333333	7.00000	0.50125	97.75590	0.84510	0.37500	0.31250	0.00000	0
740	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045963.1	6038975	58	0.53333	0.37500	0.133333333	7.00000	0.50125	97.75590	0.84510	0.37500	0.31250	0.00000	0
740	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045963.1	6038982	65	0.53333	0.37500	0.133333333	7.00000	0.50125	97.75590	0.84510	0.37500	0.31250	0.00000	0
740	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045963.1	6039024	107	0.53333	0.37500	0.133333333	7.00000	0.50125	97.75590	0.84510	0.37500	0.31250	0.00000	0
780	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045963.1	48067153	7	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
780	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045963.1	48067167	21	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
780	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045963.1	48067179	33	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
780	Skagerrak_Sailray	Kattegat_Thornbackskate	NC_045963.1	48067218	72	0.42857	1.00000	0.035714286	21.00000	0.96106	458.86771	1.32222	1.00000	1.00000	0.00000	0
