# Population Skagerrak_Thornbackskate	P08780,SR10,SR11,SR12,SR14,SR15,SR16,SR17,SR18,SR19,SR20,SR22,SR23,SR3,SR4,SR5,SR8,SR9
# Population Kattegat_Thornbackskate	P08713
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
30	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045956.1	49130841	-0.28601	-0.28601	0.00000	-0.09144	-0.09144	0.00000	0.12599	0.12599	0.00000
61	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045956.1	78277035	0.39250	0.39250	0.00000	0.48148	0.48148	0.00000	0.77778	0.77778	0.00000
69	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045956.1	83707414	-0.29095	-0.29095	0.00000	-0.03903	-0.03903	0.00000	0.01434	0.01434	0.00000
100	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045956.1	127726675	-0.07524	-0.07524	0.00000	-0.04097	-0.04097	0.00000	0.10811	0.10811	0.00000
108	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045956.1	136357848	-0.19277	-0.19277	0.00000	-0.06244	-0.06244	0.00000	0.11957	0.11957	0.00000
208	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045957.1	65989341	-0.26554	-0.26554	0.00000	-0.05536	-0.05536	0.00000	0.18687	0.18687	0.00000
228	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045957.1	93921982	-0.29124	-0.29124	0.00000	-0.10558	-0.10558	0.00000	0.21053	0.21053	0.00000
292	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045958.1	32956253	0.13754	0.13754	0.00000	0.64672	0.64672	0.00000	0.78598	0.78598	0.00000
325	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045958.1	74220214	-0.08333	-0.08333	0.00000	-0.03197	-0.03197	0.00000	0.15470	0.15470	0.00000
329	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045958.1	77473519	-0.29768	-0.29768	0.00000	-0.03388	-0.03388	0.00000	0.02657	0.02657	0.00000
343	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045958.1	93202152	0.28343	0.28343	0.00000	0.35034	0.35034	0.00000	0.48354	0.48354	0.00000
379	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045959.1	11702144	0.21647	0.21647	0.00000	0.44584	0.44584	0.00000	0.61773	0.61773	0.00000
394	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045959.1	41359071	-0.18916	-0.18916	0.00000	-0.30814	-0.30814	0.00000	-1.13202	-1.13202	0.00000
404	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045959.1	52628613	-0.12150	-0.12150	0.00000	-0.05727	-0.05727	0.00000	0.26891	0.26891	0.00000
484	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045960.1	8071372	-0.19150	-0.19150	0.00000	-0.07415	-0.07415	0.00000	0.13913	0.13913	0.00000
522	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045960.1	37538046	-0.20652	-0.20652	0.00000	-0.39176	-0.39176	0.00000	-1.17000	-1.17000	0.00000
528	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045960.1	42832174	0.42080	0.42080	0.00000	0.21286	0.21286	0.00000	-0.16845	-0.16845	0.00000
529	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045960.1	44467902	-0.27434	-0.27434	0.00000	-0.05024	-0.05024	0.00000	0.10680	0.10680	0.00000
546	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045960.1	57877902	-0.10943	-0.10943	0.00000	-0.32324	-0.32324	0.00000	-1.27155	-1.27155	0.00000
602	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045961.1	17408421	-0.21718	-0.21718	0.00000	-0.11497	-0.11497	0.00000	0.17062	0.17062	0.00000
621	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045961.1	40543720	0.31730	0.31730	0.00000	0.77995	0.77995	0.00000	0.83636	0.83636	0.00000
624	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045961.1	42132075	0.82540	0.82540	0.00000	0.89578	0.89578	0.00000	0.90753	0.90753	0.00000
665	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045962.1	460554	0.30348	0.30348	0.00000	0.43983	0.43983	0.00000	0.68828	0.68828	0.00000
676	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045962.1	14253304	-0.41176	-0.41176	0.00000	-0.51579	-0.51579	0.00000	-0.73684	-0.73684	0.00000
706	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045962.1	39556203	-0.25591	-0.25591	0.00000	-0.24276	-0.24276	0.00000	-1.10638	-1.10638	0.00000
721	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045962.1	59158986	0.38053	0.38053	0.00000	0.20047	0.20047	0.00000	-0.62626	-0.62626	0.00000
740	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045963.1	6038802	0.04290	0.04290	0.00000	0.03314	0.03314	0.00000	0.20022	0.20022	0.00000
780	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045963.1	48067031	-0.30085	-0.30085	0.00000	-0.05145	-0.05145	0.00000	0.03487	0.03487	0.00000
820	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045964.1	15774400	0.00641	0.00641	0.00000	0.52423	0.52423	0.00000	0.74684	0.74684	0.00000
867	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045964.1	59593910	-0.17557	-0.17557	0.00000	-0.10360	-0.10360	0.00000	0.43277	0.43277	0.00000
871	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045964.1	65463612	-0.15596	-0.15596	0.00000	-0.06379	-0.06379	0.00000	0.32609	0.32609	0.00000
913	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045965.1	31343934	-0.29461	-0.29461	0.00000	-0.03628	-0.03628	0.00000	0.00332	0.00332	0.00000
920	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045965.1	47310852	0.22482	0.22482	0.00000	0.70055	0.70055	0.00000	0.85876	0.85876	0.00000
924	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045965.1	51904861	-0.33141	-0.33141	0.00000	-0.02315	-0.02315	0.00000	0.09510	0.09510	0.00000
966	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045966.1	36709704	0.01608	0.01608	0.00000	0.33425	0.33425	0.00000	0.72877	0.72877	0.00000
976	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045966.1	42541836	-0.33100	-0.33100	0.00000	-0.02550	-0.02550	0.00000	0.13228	0.13228	0.00000
984	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045966.1	52282647	0.22995	0.22995	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
1027	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045967.1	26283713	-0.30435	-0.30435	0.00000	-0.08434	-0.08434	0.00000	0.72946	0.72946	0.00000
1047	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045967.1	52130172	-0.08597	-0.08597	0.00000	-0.15847	-0.15847	0.00000	-0.94444	-0.94444	0.00000
1053	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045967.1	57676791	0.48439	0.48439	0.00000	0.66624	0.66624	0.00000	0.77778	0.77778	0.00000
1085	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045968.1	27241754	0.50395	0.50395	0.00000	0.63718	0.63718	0.00000	0.72280	0.72280	0.00000
1105	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045968.1	52877089	0.05797	0.05797	0.00000	0.49688	0.49688	0.00000	0.75934	0.75934	0.00000
1139	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045969.1	29547571	0.21791	0.21791	0.00000	0.05836	0.05836	0.00000	-0.48404	-0.48404	0.00000
1143	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045969.1	31465155	-0.33043	-0.33043	0.00000	-0.02838	-0.02838	0.00000	0.15470	0.15470	0.00000
1246	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045971.1	21392253	-0.19265	-0.19265	0.00000	-0.25902	-0.25902	0.00000	-0.93820	-0.93820	0.00000
1282	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045972.1	8597930	-0.16555	-0.16555	0.00000	-0.20644	-0.20644	0.00000	-0.42544	-0.42544	0.00000
1296	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045972.1	19589136	0.43979	0.43979	0.00000	0.70575	0.70575	0.00000	0.75676	0.75676	0.00000
1315	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045972.1	38712480	0.14035	0.14266	0.00000	0.14933	0.15199	0.00000	0.44460	0.44512	0.00000
1316	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045972.1	39144351	0.30029	0.29760	0.00000	0.33364	0.33054	0.00000	0.48077	0.48016	0.00000
1356	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045973.1	33998032	-0.32964	-0.32964	0.00000	-0.06319	-0.06319	0.00000	0.29346	0.29346	0.00000
1361	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045973.1	35799385	-0.33141	-0.33141	0.00000	-0.02315	-0.02315	0.00000	0.09510	0.09510	0.00000
1368	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045973.1	41877268	-0.33216	-0.33216	0.00000	-0.01813	-0.01813	0.00000	0.03883	0.03883	0.00000
1375	Skagerrak_Thornbackskate	Kattegat_Thornbackskate	NC_045974.1	468908	0.33398	0.33398	0.00000	0.17561	0.17561	0.00000	-0.41631	-0.41631	0.00000
